title,url,timestamp,author,editor,content,content_images,tags
Ahli ITB Ungkap Hubungan Kondisi Ekosistem Tesso Nilo dan Risiko Bencana Ekologis,https://itb.ac.id/berita/ahli-itb-ungkap-hubungan-kondisi-ekosistem-tesso-nilo-dan-risiko-bencana-ekologis/63148,"Kamis, 4 - Desember - 2025, 15:46:14   - ( update : 05-12-2025 )","Dina Avanza Mardiana - Mahasiswa Mikrobiologi, 2022",Anggun Nindita,"Ilustrasi gajah (Dok. Kementerian Pariwisata RI)

RIAU, itb.ac.id – Taman Nasional Tesso Nilo (TNTN), Kabupaten Pelalawan, Riau, merupakan salah satu lanskap hutan terpenting di Pulau Sumatra yang menjadi habitat utama Gajah Sumatra beserta fauna langka lainnya seperti Harimau Sumatra, beruang madu, macan dahan, dan tapir cipan. Namun, kawasan ini tengah menghadapi tekanan besar akibat perubahan habitat yang berlangsung selama bertahun-tahun dan melibatkan berbagai aspek ekologis maupun sosial. Hal tersebut disampaikan oleh Pakar Ekologi sekaligus Ketua Kelompok Keilmuan Ekologi Sekolah Ilmu dan Teknologi Hayati Institut Teknologi Bandung (SITH ITB), Prof. Dr. Tati Suryati Syamsudin, M.S., DEA",[],"[""#itb berdampak"", ""#kampus berdampak"", ""#tesso nilo"", ""#sdg3"", ""#climate action"", ""#sdg15"", ""#life on land"", ""#sdg17"", ""#partnership for the goals""]"
"ITB, Ikatan Alumni, dan Rumah Amal Gerak Cepat Salurkan Bantuan untuk Korban Bencana di Sumatera",https://itb.ac.id/berita/itb-ikatan-alumni-dan-rumah-amal-gerak-cepat-salurkan-bantuan-untuk-korban-bencana-di-sumatera/63147,"Rabu, 3 - Desember - 2025, 21:37:17",- - -,"M. Naufal Hafizh, S.S.","Deny Willy Junaidy, Ph.D. (kiri) memasang IGW Membran Ultrafiltrasi, teknologi filtrasi air minum berbasis membran yang dapat memisahkan zat besi (Fe3+), koloid, mikroba, dan partikulat. Alat ini untuk layanan air bersih keliling di dapur-dapur umum daerah terdampak longsor yang melanda sejumlah wilayah di Aceh, Sumatera Barat, dan Sumatera Utara.BANDUNG, itb.ac.id - Institut Teknologi Bandung (ITB) bersama Ikatan Alumni ITB (IA ITB) dan Rumah Amal Salman mengerahkan bantuan cepat untuk warga terdampak banjir bandang dan longsor yang melanda sejumlah wilayah di Aceh, Sumatera Barat, dan Sumatera Utara yang juga berkolaborasi dengan Pengda IA ITB Aceh, IA ITB Sumatera Barat, dan IA ITB Sumatera Utara. Gerakan ITB Peduli Sumatera ini menjadi salah satu bentuk kolaborasi untuk mempercepat respons bantuan, khususnya di wilayah yang paling terdampak.",[],"[""#itb berdampak"", ""#kampus berdampak"", ""#itb4impact"", ""#sdg3"", ""#good health and well being"", ""#sdg6"", ""#clean water and sanitation"", ""#sdg9"", ""#industry innovation and infrastructure"", ""#sdg11"", ""#sustainable cities and communities"", ""#sdg13"", ""#climate action"", ""#sdg17"", ""#partnerships for the goals"", ""#pengabdian masyarakat"", ""#inovasi itb"", ""#ia itb"", ""#rumah amal salman"", ""#itb peduli sumatera""]"
Pelatihan untuk Mahasiswa Sarjana dan Pascasarjana Prodi Kimia FMIPA ITB Hadirkan Penerapan ISO/IEC 17025:2017,https://itb.ac.id/berita/pelatihan-untuk-mahasiswa-sarjana-dan-pascasarjana-prodi-kimia-fmipa-itb-hadirkan-penerapan-isoiec-170252017/63146,"Rabu, 3 - Desember - 2025, 12:22:06   - ( update : 03-12-2025 )",--- -,Anggun Nindita,"BANDUNG, itb.ac.id – Program Studi Kimia FMIPA ITB bekerja sama dengan Ikatan Alumni Kimia (IAKI) ITB dan Himpunan Mahasiswa Kimia “AMISCA” ITB kembali menyelenggarakan Pelatihan Evaluasi Estimasi Ketidakpastian Pengukuran Laboratorium berbasis ISO/IEC 17025:2017. Kegiatan yang memasuki tahun ketiga penyelenggaraannya ini berlangsung pada 8–9 November 2025 di Ruang Dalton FMIPA ITB, dan diikuti oleh 50 peserta yang terdiri atas mahasiswa tingkat akhir serta lulusan sarjana dan pascasarjana Kimia FMIPA ITB.",[],"[""#pelatihan"", ""#fmipa itb"", ""#kimia itb""]"
"Dukung Wisata Berkelanjutan, Tim KK Hidrografi ITB Kembangkan Dashboard Pasang Surut dan Cuaca",https://itb.ac.id/berita/dukung-wisata-berkelanjutan-tim-kk-hidrografi-itb-kembangkan-dashboard-pasang-surut-dan-cuaca/63145,"Rabu, 3 - Desember - 2025, 09:01:16","Muhammad Syahrul Tasyrifan - Teknik Geodesi dan Geomatika, 2022","M. Naufal Hafizh, S.S.","Laman muka dasbor SEARIBU yang dikembangkan oleh KK Hidrografi FITB ITB.

PULAU PRAMUKA, itb.ac.id – Tim mahasiswa dan dosen dari Kelompok Keahlian Hidrografi, Program Studi Teknik Geodesi dan Geomatika, Institut Teknologi Bandung (ITB) melaksanakan kegiatan diseminasi produk berupadashboardyang menyediakan informasi pasang surut dan cuaca pada 19-24 September 2025 di Pulau Pramuka, Kepulauan Seribu.",[],"[""#itb berdampak"", ""#kampus berdampak"", ""#itb4impact""]"
"International Process Metallurgy Conference (IPMC) 2025 Digelar di ITB, Hadirkan 464 Peserta dari 10 Negara",https://itb.ac.id/berita/international-process-metallurgy-conference-ipmc-2025-digelar-di-itb-hadirkan-464-peserta-dari-10-negara/63144,"Rabu, 3 - Desember - 2025, 08:45:22","M. Naufal Hafizh, S.S.","M. Naufal Hafizh, S.S.","BANDUNG, itb.ac.id – Institut Teknologi Bandung (ITB) menggelar International Process Metallurgy Conference (IPMC) 2025 pada Selasa (14/10/2025). Konferensi internasional dua tahunan ini berlangsung selama dua hari, 14–15 Oktober 2025, di Aula Timur ITB dan Auditorium CC Timur, mengusung tema “Advancing Sustainable Metallurgy Towards Circularity & Carbon Neutrality”.",[],"[""#itb berdampak"", ""#kampus berdampak"", ""#itb4impact"", ""#metalurgi""]"
"Ubah Limbah Ternak Menjadi Energi Bersih, Tim FLUX ITB Raih Juara 2 Nasional",https://itb.ac.id/berita/ubah-limbah-ternak-menjadi-energi-bersih-tim-flux-itb-raih-juara-2-nasional/63142,"Selasa, 2 - Desember - 2025, 16:19:38   - ( update : 04-12-2025 )","Muhammad Hanif Darmawan - Mahasiswa Teknik Pertambangan, 2021",Anggun Nindita,"Tim Flux berfoto bersama dengan dewan juri setelah mendapatkan hadiah juara pada ajang Gandeng x TBS Renewable Energy Ideation Challenge 2025 di Marketing Gallery Urban Forest Cipete, Rabu (12/11/20245) (Dok. Panitia)

BANDUNG, itb.ac.id – Tim mahasiswa Institut Teknologi Bandung (ITB) yang menamakan diri Tim FLUX berhasil meraih Juara 2 pada ajang Gandeng x TBSRenewable Energy Ideation Challenge2025. Mereka terpilih melalui proses seleksi ketat dari lebih dari 100 tim tingkat nasional, mengikuti rangkaian mentoring, hingga akhirnya melaju ke babak final pitching.",[],"[""#prestasi"", ""#prestasi mahasiswa"", ""#sdg7"", ""#affordable and clean energy"", ""#sdg9"", ""#industry innovation and infrastructure"", ""#sdg11"", ""#sustainable cities and communities"", ""#sdg12"", ""#responsible consumption and production"", ""#sdg13"", ""#climate action""]"
Tim Dosen ITB Sabet 3 Podium di ITB Jatiluhur International Triathlon 2025,https://itb.ac.id/berita/tim-dosen-itb-sabet-3-podium-di-itb-jatiluhur-international-triathlon-2025/63141,"Selasa, 2 - Desember - 2025, 15:33:12   - ( update : 02-12-2025 )","M. Naufal Hafizh, S.S.","M. Naufal Hafizh, S.S.","PURWAKARTA, itb.ac.id — Tim dosen Institut Teknologi Bandung (ITB) menorehkan prestasi membanggakan pada ajang ITB Jatiluhur International Triathlon (IJIT) 2025 yang digelar di kawasan Waduk Jatiluhur, Purwakarta, Minggu (30/11/2025). Pada kategori Alumni Relay Putra, tiga tim dari ITB berhasil menyapu bersih seluruh podium. Hal ini menegaskan kekompakan dan semangat sportivitas sivitas akademika ITB dalam ajang olahraga bergengsi ini.",[],"[""#itb berdampak"", ""#kampus berdampak"", ""#itb4impact"", ""#dana lestari itb"", ""#itb jatiluhur international triathlon""]"
"ITB dan ALSI Jalin Kerja Sama, Perkuat Sinergi Alumni dan Kampus untuk Program Strategis",https://itb.ac.id/berita/itb-dan-alsi-jalin-kerja-sama-perkuat-sinergi-alumni-dan-kampus-untuk-program-strategis/63137,"Senin, 1 - Desember - 2025, 15:58:22   - ( update : 01-12-2025 )","M. Naufal Hafizh, S.S.","M. Naufal Hafizh, S.S.","PURWAKARTA, itb.ac.id – Institut Teknologi Bandung (ITB) dan Ikatan Alumni Teknik Sipil (ALSI) ITB) resmi menandatangani Perjanjian Kerja Sama (PKS) untuk penyelenggaraan kegiatan ITB Jatiluhur International Triathlon dan ALSI ITB 3on3 Basketball Festival.","[""https://itb.ac.id/files/dokumentasi/20251201-PKS-ITB-ALSI.JPG""]","[""#itb berdampak"", ""#kampus berdampak"", ""#itb4impact"", ""#alsi itb"", ""#itb jatiluhur international triathlon""]"
Rektor ITB Berkolaborasi di Panggung Tribute to Queen untuk Dukung Dana Lestari,https://itb.ac.id/berita/rektor-itb-berkolaborasi-di-panggung-tribute-to-queen-untuk-dukung-dana-lestari/63136,"Minggu, 30 - November - 2025, 15:12:24   - ( update : 01-12-2025 )",Anggun Nindita,Anggun Nindita,"BANDUNG, itb.ac.id — Rektor Institut Teknologi Bandung (ITB), Prof. Dr. Ir. Tatacipta Dirgantara, M.T., ikut serta meramaikan gelaran Waktu Indonesia Tribute -Tribute to Queen: A Bandung Kind of Magicyang berlangsung pada Sabtu (29/11/2025) di Sasana Budaya Ganesa (Sabuga) ITB. Acara ini merupakan hasil kolaborasi antara TMC dan ITB melalui program Salam Ganesha. Tujuan utama perhelatan ini selain merayakan warisan musik legendaris Queen, juga untuk menggalang dukungan bagi Dana Lestari ITB.","[""https://itb.ac.id/files/dokumentasi/DSC09740(1).jpg""]","[""#itb berdampak"", ""#kampus berdampak"", ""#waktu indonesia tribute"", ""#dana lestari""]"
"ITB, Ikatan Alumni, dan Rumah Amal Salman Akan Salurkan Bantuan Cepat bagi Korban Banjir dan Longsor di Sumatera",https://itb.ac.id/berita/itb-ikatan-alumni-dan-rumah-amal-salman-akan-salurkan-bantuan-cepat-bagi-korban-banjir-dan-longsor-di-sumatera/63135,"Sabtu, 29 - November - 2025, 13:14:48   - ( update : 29-11-2025 )",M. Naufal Hafizh -,Anggun Nindita,"Dok. Instagram @dpmk.itb

BANDUNG, itb.ac.id – Institut Teknologi Bandung (ITB) bersama Ikatan Alumni ITB dan Rumah Amal Salman bersiap menyalurkan bantuan cepat bagi masyarakat terdampak banjir bandang dan longsor yang melanda sejumlah wilayah di Sumatera.",[],[]
